,0,1
672,672.0,4.423287947105094e-07
673,673.0,4.4269684827348366e-07
674,674.0,4.4306396993605055e-07
675,675.0,4.4343029059712444e-07
676,676.0,4.437964709815226e-07
677,677.0,4.441625194513354e-07
678,678.0,4.4452839640861243e-07
679,679.0,4.4489418626127864e-07
680,680.0,4.4525982017676e-07
681,681.0,4.456247128043524e-07
682,682.0,4.4598902445825106e-07
683,683.0,4.4635307919246444e-07
684,684.0,4.46716660048858e-07
685,685.0,4.4707996222839357e-07
686,686.0,4.4744291698011477e-07
687,687.0,4.478056060036524e-07
688,688.0,4.4816802437582466e-07
689,689.0,4.4852957551475923e-07
690,690.0,4.4888999413033404e-07
691,691.0,4.4924955289555543e-07
692,692.0,4.4960872004945505e-07
693,693.0,4.4996732912302264e-07
694,694.0,4.50325182764917e-07
695,695.0,4.50682735898277e-07
696,696.0,4.510396625490742e-07
697,697.0,4.513960356885524e-07
698,698.0,4.517520345585574e-07
699,699.0,4.5210731803849056e-07
700,700.0,4.524624912317086e-07
701,701.0,4.528175065245308e-07
702,702.0,4.531718554866701e-07
703,703.0,4.535258030609796e-07
704,704.0,4.538794456998878e-07
705,705.0,4.542328650108668e-07
706,706.0,4.54585583696377e-07
707,707.0,4.549373144458488e-07
708,708.0,4.552883535125462e-07
709,709.0,4.5563858424556234e-07
710,710.0,4.5598845373445046e-07
711,711.0,4.563382894608386e-07
712,712.0,4.5668779273452165e-07
713,713.0,4.570367014277472e-07
714,714.0,4.573849220056744e-07
715,715.0,4.5773262089105657e-07
716,716.0,4.5808007096742224e-07
717,717.0,4.584271193225904e-07
718,718.0,4.587733169065964e-07
719,719.0,4.5911869162223825e-07
720,720.0,4.5946334344656214e-07
721,721.0,4.5980753705614605e-07
722,722.0,4.60151228164066e-07
723,723.0,4.6049408230719116e-07
724,724.0,4.6083641004014824e-07
725,725.0,4.6117823191556463e-07
726,726.0,4.615195439060652e-07
727,727.0,4.61859931292274e-07
728,728.0,4.621990949189366e-07
729,729.0,4.62537467899513e-07
730,730.0,4.6287497655324636e-07
731,731.0,4.632114098350234e-07
732,732.0,4.63546987329125e-07
733,733.0,4.6388156885658967e-07
734,734.0,4.642153925721388e-07
735,735.0,4.6454906793644677e-07
736,736.0,4.6488165037955136e-07
737,737.0,4.6521292090613136e-07
738,738.0,4.655432594288876e-07
739,739.0,4.658727150061092e-07
740,740.0,4.662017342857833e-07
741,741.0,4.66530544882379e-07
742,742.0,4.6685880358765e-07
743,743.0,4.6718653306554083e-07
744,744.0,4.675140693711276e-07
745,745.0,4.6784075945826096e-07
746,746.0,4.681662965647722e-07
747,747.0,4.684911707971662e-07
748,748.0,4.6881575702330436e-07
749,749.0,4.6914016439944675e-07
750,750.0,4.6946430187597184e-07
751,751.0,4.6978788946197716e-07
752,752.0,4.70110855662314e-07
753,753.0,4.704328960229928e-07
754,754.0,4.70754129896423e-07
755,755.0,4.710744617780252e-07
756,756.0,4.7139377238737497e-07
757,757.0,4.7171196727036076e-07
758,758.0,4.7202928570012125e-07
759,759.0,4.723464435038958e-07
760,760.0,4.7266259254634623e-07
761,761.0,4.7297774211505397e-07
762,762.0,4.732925059698706e-07
763,763.0,4.7360702941973684e-07
764,764.0,4.7392166116303287e-07
765,765.0,4.742361281167128e-07
766,766.0,4.745498338418654e-07
767,767.0,4.748627057081472e-07
768,768.0,4.7517515679845683e-07
769,769.0,4.7548736079174296e-07
770,770.0,4.7579930717348885e-07
771,771.0,4.761108472192088e-07
772,772.0,4.7642182381985433e-07
773,773.0,4.7673207256591405e-07
774,774.0,4.770415125546569e-07
775,775.0,4.773505149186979e-07
776,776.0,4.776594373775734e-07
777,777.0,4.779680380401148e-07
778,778.0,4.782760100903921e-07
779,779.0,4.78583324017245e-07
780,780.0,4.788899598884814e-07
781,781.0,4.791960942482782e-07
782,782.0,4.795023061557164e-07
783,783.0,4.798085298942298e-07
784,784.0,4.80114551056061e-07
785,785.0,4.804203929390053e-07
786,786.0,4.807257847573686e-07
787,787.0,4.81030719095303e-07
788,788.0,4.813353408804388e-07
789,789.0,4.81639739842564e-07
790,790.0,4.819438539500168e-07
791,791.0,4.822475426903426e-07
792,792.0,4.825510179936019e-07
793,793.0,4.828542802112873e-07
794,794.0,4.831571051287776e-07
795,795.0,4.834591618601126e-07
796,796.0,4.837605901769018e-07
797,797.0,4.840618381247555e-07
798,798.0,4.843629730657058e-07
799,799.0,4.846640441051414e-07
800,800.0,4.849651393017355e-07
801,801.0,4.852663998912495e-07
802,802.0,4.855671324844009e-07
803,803.0,4.858668901313998e-07
804,804.0,4.861660549650361e-07
